-- > Bot launched [2021-12-16 01:08:10] < --
-- > Extension: (Event_Command_Error) Successfully Loaded < --
-- > Extension: (Event_Guild_Join) Successfully Loaded < --
-- > Extension: (Event_Member_Join) Successfully Loaded < --
-- > Extension: (Event_Member_Remove) Successfully Loaded < --
-- > Extension: (Event_Mention_Bot) Successfully Loaded < --
-- > Extension: (Event_Message_Delete) Successfully Loaded < --
-- > Extension: (Event_Message_Edit) Successfully Loaded < --
-- > Extension: (Event_On_Message) Successfully Loaded < --
-- > Extension: (Event_User_Update) Successfully Loaded < --
-- > Extension: (CommandAnkieta) Successfully Loaded < --
-- > Extension: (CommandAvatar) Successfully Loaded < --
-- > Extension: (CommandPing) Successfully Loaded < --
-- > Extension: (CommandReportBug) Successfully Loaded < --
-- > Extension: (CommandSerwer) Successfully Loaded < --
-- > Extension: (CommandUser) Successfully Loaded < --
-- > Extension: (CommandAddEmoji) Successfully Loaded < --
-- > Extension: (CommandAddrole) Successfully Loaded < --
-- > Extension: (CommandBan) Successfully Loaded < --
-- > Extension: (CommandClear) Successfully Loaded < --
-- > Extension: (CommandEval) Successfully Loaded < --
-- > Extension: (CommandKick) Successfully Loaded < --
-- > Extension: (CommandMute) Successfully Loaded < --
-- > Extension: (CommandSlowmode) Successfully Loaded < --
-- > Extension: (CommandTempBan) Successfully Loaded < --
-- > Extension: (CommandTempMute) Successfully Loaded < --
-- > Extension: (CommandUnban) Successfully Loaded < --
-- > Extension: (CommandUnmute) Successfully Loaded < --
-- > Extension: (CommandWarn) Successfully Loaded < --
-- > Extension: (CommandAnimals) Successfully Loaded < --
-- > Extension: (CommandAscii) Successfully Loaded < --
-- > Extension: (CommandCaptcha) Successfully Loaded < --
-- > Extension: (CommandCoinFlip) Successfully Loaded < --
-- > Extension: (CommandDarken) Successfully Loaded < --
-- > Extension: (CommandGoogle) Successfully Loaded < --
-- > Extension: (CommandMeme) Successfully Loaded < --
-- > Extension: (CommandMinecraft) Successfully Loaded < --
-- > Extension: (CommandQuestion) Successfully Loaded < --
-- > Extension: (CommandSay) Successfully Loaded < --
-- > Extension: (CommandTrump) Successfully Loaded < --
-- > Extension: (CommandMusic) Successfully Loaded < --
-- > Extension: (CommandAntyLink) Successfully Loaded < --
-- > Extension: (CommandLogs) Successfully Loaded < --
-- > Extension: (CommandPrefix) Successfully Loaded < --
-- > Extension: (CommandStartrole) Successfully Loaded < --
-- > Pimpek01#5529: (Error) [Command raised an exception: KeyError: 'players'] < --
-- > OL4F#5804: (Error) [You do not own this bot.] < --
